Date,Open,High,Low,Close,Adj Close,Volume,RSI(7),position
2015-01-13,80.12999725341797,81.02999877929688,77.81999969482422,78.56999969482422,69.54988098144531,749200,51.18242069345532,0.0
2015-01-14,77.66999816894531,77.98999786376953,76.63999938964844,77.36000061035156,68.47879028320312,782700,42.033660403084774,0.0
2015-01-15,77.94999694824219,78.2300033569336,75.0999984741211,75.19999694824219,66.56678009033203,814600,30.630758023362965,0.0
2015-01-16,75.0999984741211,76.62000274658203,74.5199966430664,76.5199966430664,67.7352523803711,784000,41.873201911843736,0.0
2015-01-20,76.63999938964844,76.91999816894531,74.56999969482422,75.69000244140625,67.00053405761719,803400,37.42390947834927,0.0
2015-01-21,75.68000030517578,77.25,75.68000030517578,77.08999633789062,68.23979949951172,737900,48.24569936574053,0.0
2015-01-22,77.2699966430664,80.02999877929688,76.94999694824219,79.7300033569336,70.57670593261719,957000,62.50955643467852,0.0
2015-01-23,79.80000305175781,80.41999816894531,79.5199966430664,79.72000122070312,70.56790924072266,774000,62.43349882342037,0.0
2015-01-26,79.86000061035156,82.16000366210938,79.12000274658203,81.77999877929688,72.39136505126953,1146200,70.93184565884061,0.0
2015-01-27,80.95999908447266,81.48999786376953,80.0199966430664,80.55999755859375,71.31144714355469,920200,61.34352058166153,-1.0
2015-01-28,80.41999816894531,82.27999877929688,79.58000183105469,79.86000061035156,70.69178771972656,1413100,56.253347696288195,0.0
2015-01-29,80.94999694824219,85.66999816894531,80.25,83.29000091552734,73.72801971435547,3755600,70.32839090169018,0.0
2015-01-30,82.81999969482422,83.62000274658203,80.86000061035156,81.16999816894531,71.8514175415039,1209300,57.08458480951794,-1.0
2015-02-02,81.12000274658203,81.8499984741211,78.94999694824219,81.36000061035156,72.01960754394531,1047700,57.91328363446562,0.0
2015-02-03,81.5999984741211,83.23999786376953,80.87000274658203,83.11000061035156,73.56867980957031,1576500,65.14545184210579,0.0
2015-02-04,82.97000122070312,83.72000122070312,82.56999969482422,83.36000061035156,73.78997039794922,862700,66.11589096274996,0.0
2015-02-05,83.01000213623047,84.22000122070312,82.3499984741211,83.5,73.9139175415039,853200,66.72124416364711,0.0
2015-02-06,83.52999877929688,84.08000183105469,82.5,82.93000030517578,73.40937805175781,670900,61.50211445634345,0.0
2015-02-09,82.69999694824219,83.33000183105469,82.18000030517578,82.43000030517578,72.96674346923828,746500,56.94362226961926,0.0
2015-02-10,82.38999938964844,83.69999694824219,82.30999755859375,83.25,73.69261932373047,650600,62.29127818149444,0.0
