Date,Open,High,Low,Close,Adj Close,Volume,RSI(7),position
2015-01-13,115.53398132324219,117.18446350097656,114.291259765625,115.291259765625,107.58270263671875,1662214,72.3025839561994,0.0
2015-01-14,113.54368591308594,114.26213836669922,112.39805603027344,113.7669906616211,106.16032409667969,1074084,55.900736277474635,-1.0
2015-01-15,113.78640747070312,114.18446350097656,111.61164855957031,111.63106536865234,104.167236328125,1577136,40.777855208430736,0.0
2015-01-16,111.50485229492188,113.69902801513672,111.50485229492188,113.59223175048828,105.99726104736328,1269887,54.08409459131577,0.0
2015-01-20,114.30097198486328,114.9417495727539,111.4757308959961,112.51456451416016,104.99166870117188,954398,47.27458337260959,0.0
2015-01-21,112.33009338378906,113.16504669189453,111.57281494140625,112.50485229492188,104.98260498046875,662084,47.21208335656974,0.0
2015-01-22,112.88349151611328,114.97087097167969,112.40776824951172,114.90291595458984,107.22032928466797,732639,61.7711290854507,0.0
2015-01-23,114.90291595458984,115.09708404541016,113.54368591308594,113.57281494140625,105.97917175292969,600696,52.416307345826596,0.0
2015-01-26,113.48543548583984,113.67961120605469,112.65048217773438,113.66019439697266,106.06070709228516,1226009,52.9622760828623,0.0
2015-01-27,112.77669525146484,113.93203735351562,111.93203735351562,112.84465789794922,105.29966735839844,820704,47.080222243748175,0.0
2015-01-28,112.98058319091797,114.11650848388672,111.01941680908203,111.16504669189453,103.73238372802734,1637803,37.16308607629818,0.0
2015-01-29,109.36893463134766,111.0582504272461,107.96116638183594,109.24272155761719,101.93858337402344,3332050,29.00504062421245,0.0
2015-01-30,108.72815704345703,111.30097198486328,108.69902801513672,108.83495330810547,101.55806732177734,1997891,27.51050502398699,1.0
2015-02-02,109.2038803100586,110.7961196899414,107.82524108886719,110.66019439697266,103.26129913330078,1132382,42.88041850555952,1.0
2015-02-03,112.06796264648438,113.46601867675781,111.15534210205078,113.26213836669922,105.68927764892578,1744408,57.771506501617644,0.0
2015-02-04,111.99028778076172,112.88349151611328,111.7961196899414,112.15534210205078,104.65646362304688,1143609,51.15341753007499,0.0
2015-02-05,112.99028778076172,113.95145416259766,112.63106536865234,113.68932342529297,106.08789825439453,972835,58.787354634055305,0.0
2015-02-06,113.49514770507812,114.02912902832031,112.40776824951172,112.7669906616211,105.22720336914062,1094787,52.97924853312993,0.0
2015-02-09,111.80582427978516,112.58252716064453,111.07766723632812,111.42718505859375,103.97699737548828,1364338,45.38081816359506,0.0
2015-02-10,112.80582427978516,113.99028778076172,111.7669906616211,113.66019439697266,106.06070709228516,1041330,57.291314035120365,0.0
2015-02-11,113.66019439697266,114.44660186767578,113.2038803100586,113.49514770507812,105.90668487548828,1196345,56.233897943267685,0.0
2015-02-12,114.87378692626953,114.9126205444336,113.30097198486328,114.708740234375,107.03913879394531,1006516,62.2162866697237,0.0
2015-02-13,114.46601867675781,115.88349151611328,114.38835144042969,115.8543701171875,108.10818481445312,1117447,67.1600480671259,0.0
2015-02-17,115.8543701171875,117.1456298828125,115.33009338378906,116.88349151611328,109.0684814453125,1265870,71.12023418316103,0.0
2015-02-18,117.03883361816406,117.10679626464844,116.24272155761719,116.7961196899414,108.98696899414062,1142888,70.28077187594737,-1.0
2015-02-19,116.6213607788086,117.1456298828125,116.34951782226562,116.69902801513672,108.89637756347656,741909,69.22150250784533,-1.0
2015-02-20,116.3786392211914,118.1456298828125,116.13592529296875,118.04854583740234,110.15563201904297,1089946,75.26653092102217,0.0
2015-02-23,118.04854583740234,118.04854583740234,117.21359252929688,117.77669525146484,109.9019775390625,793203,71.94564555956262,-1.0
2015-02-24,117.54368591308594,118.291259765625,117.18446350097656,118.21359252929688,110.30963134765625,844085,74.08917330237269,-1.0
2015-02-25,117.9126205444336,118.2038803100586,116.93203735351562,117.00971221923828,109.1862564086914,1015889,59.47932726241229,-1.0
2015-02-26,117.00971221923828,117.8543701171875,116.36893463134766,117.7961196899414,109.92008972167969,596782,64.7732179727646,0.0
2015-02-27,117.45631408691406,117.83495330810547,116.7961196899414,116.88349151611328,109.0684814453125,719043,55.03784154410333,0.0
2015-03-02,116.88349151611328,118.0,116.69902801513672,117.8543701171875,109.97444152832031,1304804,62.10653901703393,0.0
2015-03-03,117.66019439697266,117.74757385253906,115.25242614746094,115.7961196899414,108.05382537841797,899499,44.7182422876779,0.0
2015-03-04,115.67961120605469,116.17475891113281,114.53398132324219,115.30097198486328,107.79060363769531,1059252,41.46035484828841,0.0
2015-03-05,115.66990661621094,116.25242614746094,115.17475891113281,115.708740234375,108.17180633544922,1179762,45.289876025062846,0.0
2015-03-06,115.66019439697266,115.66990661621094,112.8543701171875,112.96116638183594,105.60320281982422,1280496,29.909047511563312,0.0
2015-03-09,113.54368591308594,113.81553649902344,112.80582427978516,113.54368591308594,106.1478042602539,1240326,35.34053301444807,1.0
2015-03-10,112.17475891113281,113.31067657470703,111.87378692626953,112.1456298828125,104.84078216552734,1206336,29.039560591405273,0.0
2015-03-11,112.7669906616211,113.55339813232422,112.4757308959961,112.84465789794922,105.4942855834961,1050806,35.72448976579054,1.0
2015-03-12,113.2330093383789,114.2330093383789,113.04854583740234,113.78640747070312,106.37468719482422,1297697,44.01431127078122,0.0
2015-03-13,114.13592529296875,114.75727844238281,112.01941680908203,112.86407470703125,105.51243591308594,1362793,38.361162664450376,0.0
2015-03-16,113.25242614746094,114.78640747070312,113.25242614746094,114.58252716064453,107.11894989013672,783830,51.81400365345662,0.0
2015-03-17,113.88349151611328,113.88349151611328,111.17475891113281,111.92233276367188,104.63204193115234,2938899,37.16480005822737,0.0
2015-03-18,111.83495330810547,116.42718505859375,111.35922241210938,115.73786163330078,108.19904327392578,2386922,57.34498435813361,0.0
2015-03-19,115.1456298828125,115.31067657470703,114.61164855957031,115.10679626464844,107.60903930664062,1286676,53.99863483455305,0.0
2015-03-20,115.83495330810547,116.24272155761719,114.88349151611328,115.30097198486328,107.79060363769531,1431906,54.94250077015014,0.0
2015-03-23,115.30097198486328,115.84465789794922,114.64077758789062,115.01941680908203,107.52738952636719,872925,53.09941843324763,0.0
2015-03-24,114.57281494140625,115.22330474853516,113.89320373535156,113.89320373535156,106.4745101928711,1176569,45.912093931805295,0.0
2015-03-25,113.9126205444336,114.75727844238281,111.84465789794922,111.95145416259766,104.65924835205078,1040197,36.086804387684445,0.0
2015-03-26,111.98058319091797,113.22330474853516,111.32038879394531,112.28155517578125,104.96784973144531,816687,38.68909855052153,0.0
2015-03-27,112.33009338378906,114.49514770507812,112.16504669189453,114.07766723632812,106.64694213867188,1327567,51.28114436168121,0.0
2015-03-30,114.6213607788086,115.5242691040039,114.33980560302734,115.11650848388672,107.61814880371094,744793,57.211109793315906,0.0
2015-03-31,114.42718505859375,114.7669906616211,113.708740234375,114.09708404541016,106.66514587402344,989624,50.213804033220796,0.0
2015-04-01,114.77669525146484,115.01941680908203,112.33980560302734,112.80582427978516,105.45799255371094,1080985,42.52737796483881,0.0
2015-04-02,112.95145416259766,114.2330093383789,112.40776824951172,113.51456451416016,106.12055969238281,651372,47.65802023202792,0.0
2015-04-06,112.75727844238281,114.2038803100586,112.44660186767578,113.9417495727539,106.51988983154297,641175,50.7497057327254,0.0
2015-04-07,113.77669525146484,114.55339813232422,112.59223175048828,112.63106536865234,105.29460144042969,653741,41.89227254301929,0.0
2015-04-08,112.708740234375,113.48543548583984,111.87378692626953,112.73786163330078,105.39447021484375,692160,42.84061821562419,0.0
2015-04-09,112.9126205444336,113.90291595458984,112.22330474853516,113.78640747070312,106.37468719482422,866024,51.84322564191859,0.0
2015-04-10,114.10679626464844,114.42718505859375,113.66019439697266,114.02912902832031,106.60160827636719,987358,53.8080112565603,0.0
2015-04-13,114.31067657470703,114.89320373535156,112.59223175048828,112.82524108886719,105.47612762451172,1212001,43.530730159747584,0.0
2015-04-14,113.00971221923828,113.69902801513672,111.87378692626953,112.58252716064453,105.24921417236328,1278024,41.65919663865879,0.0
2015-04-15,112.7961196899414,113.22330474853516,112.18446350097656,112.25242614746094,104.94062805175781,1016404,38.998768691330426,0.0
2015-04-16,112.06796264648438,112.46601867675781,111.63106536865234,112.0,104.70463562011719,1032678,36.8966290041331,0.0
2015-04-17,111.64077758789062,111.74757385253906,110.39805603027344,111.27184295654297,104.02391052246094,1125378,31.231155263163128,0.0
2015-04-20,111.72815704345703,113.0582504272461,111.53398132324219,112.54368591308594,105.2129135131836,600799,47.62063002887097,0.0
2015-04-21,113.0,114.35922241210938,112.95145416259766,113.95145416259766,106.52898406982422,849132,59.947382538147124,0.0
2015-04-22,113.708740234375,114.82524108886719,113.17475891113281,114.06796264648438,106.63790893554688,753548,60.837268900784586,0.0
2015-04-23,113.9417495727539,115.63106536865234,113.31067657470703,115.11650848388672,107.61814880371094,762715,68.24509979990493,0.0
2015-04-24,114.65048217773438,115.45631408691406,114.30097198486328,115.30097198486328,107.79060363769531,759728,69.43184407520138,0.0
2015-04-27,115.53398132324219,115.53398132324219,112.96116638183594,113.21359252929688,105.83918762207031,845012,46.49299357607211,0.0
2015-04-28,112.66019439697266,113.74757385253906,111.18446350097656,113.33009338378906,105.94810485839844,1164106,47.61981342273004,0.0
2015-04-29,113.03883361816406,113.38835144042969,111.48543548583984,111.98058319091797,104.68648529052734,1344253,37.06970710577397,0.0
2015-04-30,108.33980560302734,108.74757385253906,105.3786392211914,106.64077758789062,99.69449615478516,3417128,18.326482053858033,0.0
2015-05-01,106.96116638183594,107.89320373535156,106.291259765625,107.21359252929688,100.23001861572266,1455905,23.1871370679246,1.0
2015-05-04,107.49514770507812,108.39805603027344,107.19417572021484,107.45631408691406,100.45691680908203,1336631,25.382444537211033,1.0
2015-05-05,107.46601867675781,107.64077758789062,106.35922241210938,107.291259765625,100.3026123046875,2179686,24.81968481932943,1.0
2015-05-06,107.63106536865234,108.0873794555664,106.04854583740234,106.89320373535156,99.93049621582031,1976982,23.362315760189805,1.0
2015-05-07,107.16504669189453,108.0873794555664,106.86407470703125,107.80582427978516,100.78364562988281,1718349,33.76517038469477,1.0
2015-05-08,108.93203735351562,109.80582427978516,108.45631408691406,109.66019439697266,102.51725006103516,1282041,49.889786329107146,0.0
2015-05-11,109.291259765625,110.4368896484375,109.10679626464844,109.88349151611328,102.72600555419922,1451888,51.546921080081304,0.0
2015-05-12,109.2330093383789,109.65048217773438,108.3786392211914,108.97087097167969,101.87279510498047,2089664,44.5259291782286,0.0
2015-05-13,109.35922241210938,109.42718505859375,108.4757308959961,108.58252716064453,101.7091293334961,981693,41.70582351817607,0.0
2015-05-14,109.45631408691406,110.33980560302734,108.87378692626953,110.26213836669922,103.28242492675781,1308615,55.82398366080869,0.0
2015-05-15,110.22330474853516,110.44660186767578,109.5242691040039,109.88349151611328,102.9277572631836,806799,52.4810495324701,0.0
2015-05-18,110.0582504272461,111.22330474853516,109.82524108886719,110.95145416259766,103.92810821533203,615940,60.30327269002972,0.0
2015-05-19,110.88349151611328,111.41747283935547,110.41747283935547,111.00971221923828,103.9826889038086,728107,60.7148378765781,0.0
2015-05-20,111.04854583740234,111.5631103515625,110.60194396972656,111.00971221923828,103.9826889038086,454436,60.7148378765781,0.0
